30619.585,-3.1808,-0.7575,-1.9761,0.259429154,1.710601427,0.56254842
30619.604,-1.9615,5.4996,-1.5241,-0.012691131,1.247869521,0.665056065
30619.625,-1.6096,6.4599,-1.3433,-0.097380224,1.019673802,0.317767584
30619.644,-1.5241,2.0116,-1.3622,-0.152293578,0.832477064,-0.234046891
30619.664,-1.2028,-1.9242,-1.3775,-0.19841998,0.694342508,-0.280662589
30619.684,-1.4661,-2.0672,-1.2584,-0.196218145,0.675310907,-0.161325178
30619.705,-1.7031,-0.8827,-1.226,-0.305310907,0.715331295,0.338267074
30619.724,-1.901,-0.6988,-1.1637,0.12764526,0.45833843,0.096646279
30619.744,-1.9157,-1.4349,-0.7862,0.152538226,0.419531091,0.16204893
30619.764,-1.0476,-2.091,-0.4184,0.239908257,0.308735984,0.122273191
30619.785,-0.4197,-1.7477,-0.2321,0.268950051,0.233078491,0.011712538
30619.804,0.3421,-1.0434,-0.0593,0.213547401,0.219408767,-0.021478084
30619.825,1.0318,-0.5412,0.1142,0.158634047,0.284566769,0.112018349
30619.845,1.6353,0.0195,0.3977,0.017084608,0.471763507,0.409041794
30619.865,2.2266,0.314,0.8106,-0.262120285,0.785372069,0.64529052
30619.885,2.9358,0.4862,0.9908,-0.696055046,1.649337411,0.661396534
30619.905,3.3921,0.4801,1.0275,-0.74706422,2.248256881,1.803343527
30619.924,0.876,-0.4838,0.7416,-0.643577982,1.590764526,0.927665647
30619.944,-0.35,-2.6554,-0.9701,-0.579388379,0.408063201,0.033924567
30619.965,-0.1423,-0.1319,-1.6927,-0.903496432,0.577930683,0.145698267
30619.984,-0.4997,0.675,-1.7055,0.144729867,1.202956167,0.272609582
30620.004,0.113,1.408,-0.1057,0.355830785,1.39479103,0.076880734
30620.024,1.504,1.0482,0.5828,0.210621814,2.161131498,-0.523261978
30620.044,1.799,0.2382,0.5021,0.071508665,1.751355759,0.77756371
30620.065,-1.2761,0.1356,-0.4924,0.278960245,0.599408767,-0.143261978
30620.085,-1.0409,-0.4325,-0.504,0.548644241,0.200366972,0.03587156
30620.105,0.4319,-0.7727,0.4246,0.134964322,0.542782875,0.051987768
30620.124,1.1949,-0.6176,0.496,0.047104995,1.06116208,-0.601845056
30620.144,1.237,1.4007,1.0531,0.040265036,1.078735984,-0.143017329
30620.164,0.7477,3.1185,1.733,0.02587156,1.199051988,0.139357798
30620.184,0.8723,2.6609,2.0885,-0.046860347,1.322303772,-0.027573904
30620.204,1.5119,0.8577,1.9725,-0.622099898,1.123639144,0.192803262
30620.224,1.6035,-0.8094,1.2553,-0.258939857,0.927420999,0.246738022
30620.244,1.397,-1.1435,0.843,-0.073465851,0.913751274,-0.02440367
30620.264,1.5858,-0.9658,0.6976,-0.091763507,0.778786952,0.062477064
